minute,goalDifference,player,position,rating,team,eloTeam,keeper,keeperRating,opponent,eloOpponent,isHome,x,y,distance,angle,situation,bodyPart,xg,goal
51,0,Nicolò Cambiaghi,F,72,Empoli,1623,Łukasz Skorupski,77,Bologna,1764,True,13,28,17,42,assisted,left-foot,0.072739459574223,0
53,0,M'Baye Niang,F,73,Empoli,1623,Łukasz Skorupski,77,Bologna,1764,True,10,35,11,26,assisted,right-foot,0.3035629093647,0
56,0,M'Baye Niang,F,73,Empoli,1623,Łukasz Skorupski,77,Bologna,1764,True,5,37,5,30,corner,head,0.39387729763985,0
60,0,Jens Odgaard,F,73,Bologna,1764,Elia Caprile,73,Empoli,1623,False,8,40,8,0,assisted,head,0.14714646339417,0
65,0,Kacper Urbański,M,51,Bologna,1764,Elia Caprile,73,Empoli,1623,False,29,28,31,22,assisted,left-foot,0.01967291906476,0
67,0,M'Baye Niang,F,73,Empoli,1623,Łukasz Skorupski,77,Bologna,1764,True,32,48,32,14,assisted,left-foot,0.01356284506619,0
81,0,Alexis Saelemaekers,M,66,Bologna,1764,Elia Caprile,73,Empoli,1623,False,15,32,17,28,assisted,right-foot,0.46254715323448,0
83,0,Santiago Castro,F,70,Bologna,1764,Elia Caprile,73,Empoli,1623,False,3,28,12,75,assisted,right-foot,0.095574669539928,0
84,0,Giovanni Fabbian,M,62,Bologna,1764,Elia Caprile,73,Empoli,1623,False,8,39,8,7,assisted,right-foot,0.17415218055248,0
86,0,Riccardo Orsolini,M,74,Bologna,1764,Elia Caprile,73,Empoli,1623,False,9,44,9,23,assisted,left-foot,0.42950221896172,0
90,0,Jhon Lucumí,D,27,Bologna,1764,Elia Caprile,73,Empoli,1623,False,25,49,26,19,regular,left-foot,0.024866661056876,0
90,0,Riccardo Calafiori,D,46,Bologna,1764,Elia Caprile,73,Empoli,1623,False,30,24,34,28,assisted,left-foot,0.02044534124434,0
90,0,Giovanni Fabbian,M,62,Bologna,1764,Elia Caprile,73,Empoli,1623,False,16,42,16,7,regular,right-foot,0.18366166949272,1
5,0,Walid Cheddira,F,69,Frosinone,1574,Christos Mandas,62,Lazio,1762,True,5,36,6,38,assisted,head,0.50209414958954,0
6,0,Luca Mazzitelli,M,62,Frosinone,1574,Christos Mandas,62,Lazio,1762,True,28,25,31,28,assisted,right-foot,0.029221160337329,0
7,0,Simone Romagnoli,D,39,Frosinone,1574,Christos Mandas,62,Lazio,1762,True,7,35,8,35,corner,head,0.11849384754896,0
13,0,Pol Lirola,D,61,Frosinone,1574,Christos Mandas,62,Lazio,1762,True,10,48,12,38,assisted,head,0.042577762156725,1
18,1,Walid Cheddira,F,69,Frosinone,1574,Christos Mandas,62,Lazio,1762,True,11,35,12,24,assisted,right-foot,0.15942953526974,0
26,-1,Ciro Immobile,F,86,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,9,54,16,57,assisted,right-foot,0.074273705482483,0
38,-1,Mattia Zaccagni,F,76,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,4,45,6,51,assisted,left-foot,0.3838258087635,1
40,0,Mattia Zaccagni,F,76,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,22,22,28,39,assisted,right-foot,0.020195899531245,0
43,0,Ciro Immobile,F,86,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,4,51,11,70,assisted,right-foot,0.18832348287106,0
43,0,Felipe Anderson,F,78,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,15,42,15,7,regular,right-foot,0.0863421484828,0
44,0,Danilo Cataldi,M,71,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,31,39,31,1,assisted,right-foot,0.018146993592381,0
45,0,Pol Lirola,D,61,Frosinone,1574,Christos Mandas,62,Lazio,1762,True,6,54,15,66,fast-break,right-foot,0.10979900509119,0
46,0,Mattia Zaccagni,F,76,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,27,36,27,8,assisted,right-foot,0.035457700490952,0
46,0,Matías Soulé,F,66,Frosinone,1574,Christos Mandas,62,Lazio,1762,True,10,55,18,56,assisted,right-foot,0.046773429960012,0
48,0,Ciro Immobile,F,86,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,12,43,12,14,assisted,right-foot,0.094561360776424,0
49,0,Adam Marušić,D,66,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,31,26,34,24,regular,right-foot,0.022305440157652,0
51,0,Ciro Immobile,F,86,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,9,28,15,53,assisted,left-foot,0.062096916139126,0
57,0,Valentín Castellanos,F,78,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,8,45,9,32,set-piece,head,0.07555765658617,1
59,-1,Matías Soulé,F,66,Frosinone,1574,Christos Mandas,62,Lazio,1762,True,18,62,28,50,regular,left-foot,0.013677121140063,0
59,-1,Walid Cheddira,F,69,Frosinone,1574,Christos Mandas,62,Lazio,1762,True,9,50,13,48,assisted,left-foot,0.16301544010639,0
61,1,Valentín Castellanos,F,78,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,11,45,12,24,assisted,right-foot,0.06262731552124,0
61,1,Luis Alberto,M,76,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,24,26,27,30,assisted,right-foot,0.043343886733055,0
62,1,Felipe Anderson,F,78,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,9,46,10,33,corner,head,0.037045534700155,0
62,1,Alessio Romagnoli,D,39,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,12,42,12,9,corner,left-foot,0.13032948970795,0
62,1,Nicolò Casale,D,52,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,11,37,11,15,corner,right-foot,0.069994777441025,0
62,1,Valentín Castellanos,F,78,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,3,37,4,45,corner,right-foot,0.72335737943649,1
70,-2,Caleb Okoli,D,30,Frosinone,1574,Christos Mandas,62,Lazio,1762,True,11,42,11,10,corner,head,0.049823503941298,0
70,-2,Walid Cheddira,F,69,Frosinone,1574,Christos Mandas,62,Lazio,1762,True,4,39,4,14,corner,right-foot,0.66147416830063,1
74,-1,Walid Cheddira,F,69,Frosinone,1574,Christos Mandas,62,Lazio,1762,True,13,50,16,37,assisted,right-foot,0.18686339259148,0
78,-1,Matías Soulé,F,66,Frosinone,1574,Christos Mandas,62,Lazio,1762,True,28,44,28,8,assisted,left-foot,0.028750406578183,0
81,1,Luis Alberto,M,76,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,11,35,12,24,assisted,right-foot,0.35966464877129,0
83,1,Matías Vecino,M,72,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,8,41,8,7,corner,other,0.05052162706852,0
89,-1,Emanuele Valeri,M,62,Frosinone,1574,Christos Mandas,62,Lazio,1762,True,16,28,20,36,assisted,left-foot,0.058970145881176,0
90,1,Manuel Lazzari,D,60,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,13,51,17,40,fast-break,right-foot,0.19785991311073,0
90,1,Valentín Castellanos,F,78,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,13,44,13,17,fast-break,right-foot,0.27171656489372,0
90,1,Valentín Castellanos,F,78,Lazio,1762,Stefano Turati,73,Frosinone,1574,False,13,36,13,17,assisted,right-foot,0.22052994370461,0
