,game,round,week,date,home_team,away_team,home_score,away_score,game_id
222,2025-03-09 Stade Rennais-Paris Saint-Germain,25,25,2025-03-09 16:00:00+00:00,Stade Rennais,Paris Saint-Germain,,,12450254
223,2025-03-09 Stade de Reims-Auxerre,25,25,2025-03-09 16:15:00+00:00,Stade de Reims,Auxerre,,,12450243
224,2025-03-09 Toulouse-AS Monaco,25,25,2025-03-09 16:00:00+00:00,Toulouse,AS Monaco,,,12450248
225,2025-03-14 Nice-Auxerre,26,26,2025-03-14 19:45:00+00:00,Nice,Auxerre,,,12450256
226,2025-03-15 Angers-AS Monaco,26,26,2025-03-15 18:00:00+00:00,Angers,AS Monaco,,,12450264
227,2025-03-15 Nantes-Lille,26,26,2025-03-15 16:00:00+00:00,Nantes,Lille,,,12450262
228,2025-03-15 RC Lens-Stade Rennais,26,26,2025-03-15 20:05:00+00:00,RC Lens,Stade Rennais,,,12450260
229,2025-03-16 Montpellier-Saint-Étienne,26,26,2025-03-16 16:15:00+00:00,Montpellier,Saint-Étienne,,,12450259
230,2025-03-16 Olympique Lyonnais-Le Havre,26,26,2025-03-16 14:00:00+00:00,Olympique Lyonnais,Le Havre,,,12450261
231,2025-03-16 Paris Saint-Germain-Olympique de Marseille,26,26,2025-03-16 19:45:00+00:00,Paris Saint-Germain,Olympique de Marseille,,,12450257
232,2025-03-16 RC Strasbourg-Toulouse,26,26,2025-03-16 16:15:00+00:00,RC Strasbourg,Toulouse,,,12450263
233,2025-03-16 Stade Brestois-Stade de Reims,26,26,2025-03-16 16:15:00+00:00,Stade Brestois,Stade de Reims,,,12450258
234,2025-03-30 AS Monaco-Nice,27,27,2025-03-30 15:00:00+00:00,AS Monaco,Nice,,,12450899
235,2025-03-30 Angers-Stade Rennais,27,27,2025-03-30 15:00:00+00:00,Angers,Stade Rennais,,,12450266
236,2025-03-30 Auxerre-Montpellier,27,27,2025-03-30 15:00:00+00:00,Auxerre,Montpellier,,,12450267
237,2025-03-30 Le Havre-Nantes,27,27,2025-03-30 15:00:00+00:00,Le Havre,Nantes,,,12450265
238,2025-03-30 Lille-RC Lens,27,27,2025-03-30 15:00:00+00:00,Lille,RC Lens,,,12450898
