,game,round,week,date,home_team,away_team,home_score,away_score,game_id
49,2024-10-05 SV Werder Bremen-SC Freiburg,6,6,2024-10-05 13:30:00+00:00,SV Werder Bremen,SC Freiburg,0.0,1.0,12499664
50,2024-10-05 VfL Bochum 1848-VfL Wolfsburg,6,6,2024-10-05 13:30:00+00:00,VfL Bochum 1848,VfL Wolfsburg,1.0,3.0,12499674
51,2024-10-06 1. FC Heidenheim-RB Leipzig,6,6,2024-10-06 13:30:00+00:00,1. FC Heidenheim,RB Leipzig,0.0,1.0,12499660
52,2024-10-06 Eintracht Frankfurt-FC Bayern München,6,6,2024-10-06 15:30:00+00:00,Eintracht Frankfurt,FC Bayern München,3.0,3.0,12499656
53,2024-10-06 VfB Stuttgart-TSG Hoffenheim,6,6,2024-10-06 17:30:00+00:00,VfB Stuttgart,TSG Hoffenheim,1.0,1.0,12499654
54,2024-10-18 Borussia Dortmund-FC St. Pauli,7,7,2024-10-18 18:30:00+00:00,Borussia Dortmund,FC St. Pauli,2.0,1.0,12499687
55,2024-10-19 1. FSV Mainz 05-RB Leipzig,7,7,2024-10-19 13:30:00+00:00,1. FSV Mainz 05,RB Leipzig,0.0,2.0,12499703
56,2024-10-19 Bayer 04 Leverkusen-Eintracht Frankfurt,7,7,2024-10-19 13:30:00+00:00,Bayer 04 Leverkusen,Eintracht Frankfurt,2.0,1.0,12499681
57,2024-10-19 Borussia M'gladbach-1. FC Heidenheim,7,7,2024-10-19 13:30:00+00:00,Borussia M'gladbach,1. FC Heidenheim,3.0,2.0,12499707
58,2024-10-19 FC Bayern München-VfB Stuttgart,7,7,2024-10-19 16:30:00+00:00,FC Bayern München,VfB Stuttgart,4.0,0.0,12499684
59,2024-10-19 SC Freiburg-FC Augsburg,7,7,2024-10-19 13:30:00+00:00,SC Freiburg,FC Augsburg,3.0,1.0,12499694
